,name,geometry,addr:street,addr:housenumber,centroid,lat,lon
508,,"POLYGON ((49.9428213 53.1004559, 49.9429159 53.1004204, 49.9428234 53.1003315, 49.9427288 53.100367, 49.9428213 53.1004559))",,,POINT (49.94282235 53.100393700000005),53.100393700000005,49.94282235
521,,"POLYGON ((49.9653684 53.0949104, 49.9653237 53.0948678, 49.9654087 53.0948356, 49.9654534 53.0948782, 49.9653684 53.0949104))",,,POINT (49.96538855 53.094873),53.094873,49.96538855
523,,"POLYGON ((49.9803249 53.0874581, 49.9806365 53.087363, 49.9805607 53.0872736, 49.9802492 53.0873687, 49.9803249 53.0874581))",,,POINT (49.98044283365283 53.087365849750014),53.087365849750014,49.98044283365283
524,,"POLYGON ((49.9745049 53.0911878, 49.9746281 53.0911411, 49.9745797 53.0910952, 49.9744566 53.0911419, 49.9745049 53.0911878))",,,POINT (49.97454233339636 53.09114149992196),53.09114149992196,49.97454233339636
530,,"POLYGON ((49.9607971 53.1016322, 49.9610867 53.1016714, 49.9615585 53.1004148, 49.9612689 53.1003755, 49.9607971 53.1016322))",проспект Победы,,POINT (49.96117780302282 53.10102346183349),53.10102346183349,49.96117780302282
531,,"POLYGON ((49.9626239 53.1018977, 49.9629262 53.1019425, 49.9634048 53.100702, 49.9631005 53.1006578, 49.9626239 53.1018977))",проспект Победы,,POINT (49.9630140869463 53.10129943199509),53.10129943199509,49.9630140869463
577,,"POLYGON ((49.956409 53.1067092, 49.956306 53.106613, 49.9566073 53.1064967, 49.9567656 53.1066445, 49.956632 53.106696, 49.9565768 53.1066444, 49.956409 53.1067092))",,,POINT (49.95653946441729 53.10661091464096),53.10661091464096,49.95653946441729
578,,"POLYGON ((49.9978294 53.096712, 49.997998 53.0965632, 49.9982031 53.0966469, 49.9982447 53.0966102, 49.9983379 53.0966482, 49.9982719 53.0967065, 49.9985468 53.0968188, 49.9986057 53.0967669, 49.9987671 53.0968328, 49.9985641 53.0970121, 49.9984112 53.0969496, 49.9979943 53.0967794, 49.9978294 53.096712))",,,POINT (49.998290317162834 53.09678642702056),53.09678642702056,49.998290317162834
579,"Столовая ""Новатэк""","POLYGON ((49.9986959 53.0966585, 49.9987979 53.0965648, 49.9988253 53.0965756, 49.9992279 53.0962059, 49.9993885 53.096269, 49.9989837 53.0966407, 49.9990503 53.0966668, 49.9989505 53.0967585, 49.9986959 53.0966585))",,,POINT (49.999040254624305 53.09649062064027),53.09649062064027,49.99904025462431
580,,"POLYGON ((49.9986032 53.0967668, 49.9987118 53.0966659, 49.9988752 53.0967292, 49.9987666 53.0968302, 49.9986032 53.0967668))",,,POINT (49.99873920531394 53.096748032598754),53.096748032598754,49.99873920531394
581,,"POLYGON ((49.9909268 53.1024388, 49.9910628 53.102513, 49.9913714 53.1023093, 49.9912354 53.1022351, 49.9909268 53.1024388))",,,POINT (49.991149099999994 53.10237405000001),53.10237405000001,49.9911491
582,,"POLYGON ((49.9913936 53.1025594, 49.9915397 53.102641, 49.991646 53.1025723, 49.9914999 53.1024907, 49.9913936 53.1025594))",,,POINT (49.9915198 53.10256584999999),53.10256584999999,49.9915198
584,,"POLYGON ((49.9406147 53.120022, 49.9405426 53.1198569, 49.941147 53.1197617, 49.9412192 53.1199268, 49.9406147 53.120022))",,,POINT (49.940880880426384 53.11989185142152),53.11989185142152,49.940880880426384
585,,"POLYGON ((49.9474969 53.1173294, 49.9476903 53.1171366, 49.9484853 53.1174238, 49.9482918 53.1176167, 49.9474969 53.1173294))",,,POINT (49.94799110931798 53.117376637406856),53.117376637406856,49.94799110931798
587,,"POLYGON ((49.9483593 53.118961, 49.948056 53.1190061, 49.9479869 53.1188388, 49.9482902 53.1187937, 49.9483593 53.118961))",,,POINT (49.9481731 53.1188999),53.1188999,49.9481731
609,,"POLYGON ((49.9383505 53.0821568, 49.9385716 53.0822368, 49.9386765 53.0821321, 49.9384555 53.0820521, 49.9383505 53.0821568))",,,POINT (49.93851351742434 53.082144451205366),53.082144451205366,49.93851351742434
611,,"POLYGON ((49.944854 53.0837642, 49.9453009 53.0832928, 49.9465632 53.0837246, 49.9461163 53.084196, 49.944854 53.0837642))",,,POINT (49.945708599999996 53.0837444),53.0837444,49.9457086
612,,"POLYGON ((49.9437538 53.083721, 49.9438709 53.0837633, 49.9444044 53.0832307, 49.9442872 53.0831884, 49.9437538 53.083721))",,,POINT (49.94407910335396 53.083475822352014),53.083475822352014,49.94407910335396
613,,"POLYGON ((49.9444043 53.083073, 49.9452999 53.0821368, 49.9479625 53.0830559, 49.9478917 53.0831299, 49.9453504 53.0822527, 49.9445256 53.0831148, 49.9444043 53.083073))",,,POINT (49.94600005230103 53.08264354527004),53.08264354527004,49.94600005230103
618,,"POLYGON ((49.9530782 53.0831166, 49.9532647 53.0831251, 49.9532512 53.0832312, 49.9535314 53.0832441, 49.9535447 53.0831393, 49.9536961 53.0831463, 49.9537051 53.0830914, 49.9535542 53.0830844, 49.9535575 53.0830586, 49.9532768 53.0830457, 49.9532733 53.083073, 49.9530856 53.0830644, 49.9530782 53.0831166))",,,POINT (49.953398176143374 53.08313436932357),53.08313436932357,49.953398176143374
619,,"POLYGON ((49.969906 53.0767217, 49.9698289 53.0766353, 49.9698653 53.0765952, 49.9701068 53.0765854, 49.970179 53.0766168, 49.9702349 53.0767049, 49.9701952 53.076733, 49.9699543 53.0767407, 49.969906 53.0767217))",,,POINT (49.97003292111681 53.0766635095315),53.0766635095315,49.97003292111681
634,,"POLYGON ((49.951555 53.1091569, 49.9515543 53.1091338, 49.9517122 53.109132, 49.9517084 53.1090147, 49.9513256 53.1090192, 49.9513275 53.1090791, 49.9512548 53.1090799, 49.9512573 53.1091604, 49.951555 53.1091569))",,,POINT (49.95148807099894 53.109086804227914),53.10908680422792,49.95148807099894
636,,"POLYGON ((49.9491121 53.1104677, 49.9492843 53.1104654, 49.9492758 53.1102343, 49.9489633 53.1102384, 49.9489654 53.1102963, 49.9490345 53.1102954, 49.9490395 53.1104306, 49.9491107 53.1104296, 49.9491121 53.1104677))",,,POINT (49.949151141739655 53.11034097948804),53.11034097948804,49.949151141739655
637,,"POLYGON ((49.9469164 53.0403449, 49.946916 53.0402853, 49.9472584 53.0402845, 49.9472588 53.0403441, 49.9469164 53.0403449))",,,POINT (49.94708740000001 53.0403147),53.0403147,49.94708740000001
638,,"POLYGON ((49.9478697 53.0403596, 49.9478693 53.0403, 49.9482116 53.0402991, 49.948212 53.0403587, 49.9478697 53.0403596))",,,POINT (49.94804065 53.04032935),53.04032935,49.94804065
