,name,geometry,addr:street,addr:housenumber,centroid,lat,lon,address
27,,"POLYGON ((49.9787168 53.0947235, 49.9792633 53.0952933, 49.9790778 53.0953574, 49.9788513 53.0951211, 49.9785005 53.0952424, 49.9787036 53.0954542, 49.9785245 53.0955161, 49.9780295 53.095, 49.9782262 53.0949319, 49.9784245 53.0951387, 49.9787492 53.0950264, 49.9785229 53.0947905, 49.9787168 53.0947235))",улица Свердлова,12,POINT (49.97864148826836 53.09512510257024),53.09512510257024,49.97864148826836,Новокуйбышевск улица Свердлова 12
29,,"POLYGON ((49.9899384 53.0908364, 49.9908658 53.09049, 49.9907669 53.0903945, 49.9898395 53.0907409, 49.9899384 53.0908364))",улица Будённого,8,POINT (49.99035265 53.090615449999994),53.09061545,49.99035265,Новокуйбышевск улица Будённого 8
30,,"POLYGON ((49.986897 53.0924916, 49.9870064 53.0925587, 49.987131 53.0924855, 49.9873514 53.0926207, 49.9871802 53.0927214, 49.9870661 53.0926514, 49.986952 53.0927185, 49.9870694 53.0927905, 49.9868898 53.092896, 49.9867799 53.0928287, 49.9866659 53.0928957, 49.9867739 53.092962, 49.9866126 53.0930569, 49.9864078 53.0929313, 49.9865465 53.0928498, 49.9864223 53.0927736, 49.986572 53.0926856, 49.9866901 53.092758, 49.9868543 53.0926615, 49.9867337 53.0925876, 49.986897 53.0924916))",улица Свердлова,5Б,POINT (49.98683918992602 53.09274363149895),53.09274363149895,49.98683918992602,Новокуйбышевск улица Свердлова 5Б
31,,"POLYGON ((49.9737063 53.1016553, 49.9734273 53.1019414, 49.9731362 53.1018391, 49.9729908 53.1019883, 49.9732744 53.102088, 49.9731285 53.1022377, 49.9733155 53.1023034, 49.9738858 53.1017184, 49.9737063 53.1016553))",улица Островского,34,POINT (49.97342095663898 53.101976524176585),53.101976524176585,49.97342095663898,Новокуйбышевск улица Островского 34
32,,"POLYGON ((49.9742689 53.1017443, 49.9744692 53.1018077, 49.9739295 53.1024218, 49.9737291 53.1023583, 49.9742689 53.1017443))",улица Островского,36,POINT (49.97409914345511 53.102083063000876),53.10208306300088,49.97409914345511,Новокуйбышевск улица Островского 36
33,,"POLYGON ((49.9671925 53.0949121, 49.9669996 53.0949381, 49.9672447 53.0955943, 49.9674377 53.0955684, 49.9671925 53.0949121))",улица Дзержинского,23,POINT (49.96721863396203 53.095253241549706),53.095253241549706,49.96721863396203,Новокуйбышевск улица Дзержинского 23
34,,"POLYGON ((49.9679046 53.0950919, 49.967712 53.0951175, 49.9679547 53.0957747, 49.9681473 53.095749, 49.9679046 53.0950919))",улица Дзержинского,25,POINT (49.96792965136859 53.09543328531878),53.09543328531878,49.96792965136859,Новокуйбышевск улица Дзержинского 25
35,,"POLYGON ((49.9686551 53.0952587, 49.9684624 53.0952811, 49.968675 53.0959403, 49.9688677 53.0959179, 49.9686551 53.0952587))",улица Дзержинского,27,POINT (49.96866504999999 53.0955995),53.0955995,49.96866504999999,Новокуйбышевск улица Дзержинского 27
36,,"POLYGON ((49.9671767 53.0938542, 49.9672817 53.0939535, 49.9685109 53.0934851, 49.9684059 53.0933858, 49.9671767 53.0938542))",улица Дзержинского,32,POINT (49.96784380000001 53.09366965),53.09366965,49.96784380000001,Новокуйбышевск улица Дзержинского 32
37,,"POLYGON ((49.9666397 53.0935413, 49.9667455 53.0936417, 49.9679753 53.0931748, 49.9678696 53.0930744, 49.9666397 53.0935413))",улица Дзержинского,30,POINT (49.96730749680461 53.09335806002379),53.09335806002379,49.96730749680461,Новокуйбышевск улица Дзержинского 30
38,,"POLYGON ((49.9677878 53.0941451, 49.9678937 53.0942457, 49.9691238 53.0937785, 49.9690179 53.093678, 49.9677878 53.0941451))",улица Дзержинского,34,POINT (49.96845572771854 53.09396185316745),53.09396185316745,49.96845572771854,Новокуйбышевск улица Дзержинского 34
