,Unnamed: 0,name,geometry,addr:street,addr:housenumber,centroid,lat,lon,address
137,3979,,"POLYGON ((49.9923403 53.095422, 49.9924511 53.0953577, 49.9925169 53.0953986, 49.9924061 53.0954629, 49.9923403 53.095422))",,,POINT (49.992428600000004 53.095410300000005),53.095410300000005,49.9924286,"Zheleznodorozhnaya ulitsa, 38, Novokuybyshevsk"
138,3981,,"POLYGON ((49.9919816 53.0957147, 49.992079 53.0956603, 49.9921255 53.0956903, 49.9920282 53.0957447, 49.9919816 53.0957147))",,,POINT (49.99205356477236 53.09570250314723),53.09570250314723,49.99205356477236,"Zheleznodorozhnaya ulitsa, 36, Novokuybyshevsk"
139,3983,,"POLYGON ((49.9915786 53.0958636, 49.9917191 53.095949, 49.9918373 53.0958787, 49.9917738 53.0958402, 49.9917249 53.0958692, 49.9916479 53.0958225, 49.9915786 53.0958636))",,,POINT (49.99170710518512 53.095882888742075),53.09588288874208,49.99170710518512,"Zheleznodorozhnaya ulitsa, 30А, Novokuybyshevsk"
140,3987,,"POLYGON ((49.9910413 53.0961785, 49.9911215 53.0961309, 49.9912544 53.0962115, 49.9911743 53.0962592, 49.9910413 53.0961785))",,,POINT (49.991147872858 53.096195031711154),53.096195031711154,49.991147872858,"Zheleznodorozhnaya ulitsa, 30, Novokuybyshevsk"
141,3991,,"POLYGON ((49.9900151 53.0967631, 49.9900665 53.0967282, 49.9901852 53.0967913, 49.9901338 53.0968261, 49.9900151 53.0967631))",,,POINT (49.99010013706902 53.096777164522905),53.096777164522905,49.99010013706902,"Zheleznodorozhnaya ulitsa, 22, Novokuybyshevsk"
142,3995,,"POLYGON ((49.9894242 53.0971245, 49.9895238 53.0970671, 49.9896253 53.0971306, 49.9895258 53.097188, 49.9894242 53.0971245))",,,POINT (49.98952476665829 53.09712754949419),53.09712754949419,49.98952476665829,"Zheleznodorozhnaya ulitsa, 16А, Novokuybyshevsk"
143,3999,,"POLYGON ((49.9887604 53.0975554, 49.9888244 53.0975131, 49.9889505 53.0975819, 49.9888553 53.0976448, 49.9887671 53.0975967, 49.9887984 53.0975761, 49.9887604 53.0975554))",,,POINT (49.988848172815466 53.09757927182429),53.09757927182429,49.988848172815466,"Zheleznodorozhnaya ulitsa, 12, Novokuybyshevsk"
144,4004,,"POLYGON ((49.9876871 53.098234, 49.9877772 53.0981763, 49.9878779 53.0982331, 49.9877878 53.0982908, 49.9876871 53.098234))",,,POINT (49.987782499999994 53.09823355),53.09823355,49.9877825,"Zheleznodorozhnaya ulitsa, 8, Novokuybyshevsk"
145,4007,,"POLYGON ((49.9869742 53.0986734, 49.9870923 53.0985955, 49.9871881 53.0986478, 49.98707 53.0987257, 49.9869742 53.0986734))",,,POINT (49.987081149999995 53.09866060000001),53.09866060000001,49.98708115,"Zheleznodorozhnaya ulitsa, 2А, Novokuybyshevsk"
146,4011,,"POLYGON ((49.9887667 53.0981821, 49.9888453 53.0981349, 49.9889454 53.0981951, 49.9888669 53.0982422, 49.9887667 53.0981821))",,,POINT (49.98885606301401 53.09818856518848),53.09818856518848,49.98885606301401,"Zheleznodorozhnaya ulitsa, 14, Novokuybyshevsk"
147,4012,,"POLYGON ((49.9858498 53.0995214, 49.9859511 53.0994423, 49.9860925 53.0995076, 49.9859912 53.0995867, 49.9858498 53.0995214))",,,POINT (49.98597115 53.09951449999999),53.09951449999999,49.98597115,"Zheleznodorozhnaya ulitsa, 2, Novokuybyshevsk"
148,4017,,"POLYGON ((49.9836693 53.1004062, 49.9838519 53.1002816, 49.9839568 53.100337, 49.9837742 53.1004616, 49.9836693 53.1004062))",,,POINT (49.983813049999995 53.1003716),53.1003716,49.98381305,"Zheleznodorozhnaya ulitsa, 45, Novokuybyshevsk"
149,4031,,"POLYGON ((49.9786259 53.1034078, 49.9787161 53.1033525, 49.9787991 53.1034014, 49.9787089 53.1034566, 49.9786259 53.1034078))",,,POINT (49.97871250115569 53.10340456662396),53.10340456662396,49.97871250115569,"Zheleznodorozhnaya ulitsa, 5-А, Novokuybyshevsk"
