,name,geometry,addr:street,addr:housenumber,centroid,lat,lon
10167,,"POLYGON ((60.0594354 55.06171, 60.0593316 55.0617154, 60.059316 55.0616168, 60.0594199 55.0616115, 60.0594354 55.06171))",,,POINT (60.05937571479813 55.061663418865315),55.06166341886532,60.05937571479813
10168,,"POLYGON ((60.0592104 55.0616866, 60.0590902 55.0616884, 60.0590871 55.0616218, 60.0592073 55.0616199, 60.0592104 55.0616866))",,,POINT (60.059148765008025 55.06165417455409),55.06165417455409,60.059148765008025
10169,,"POLYGON ((60.0588033 55.0614502, 60.0586831 55.0614522, 60.058678 55.0613501, 60.0587982 55.0613482, 60.0588033 55.0614502))",,,POINT (60.05874064021017 55.061400175512404),55.0614001755124,60.05874064021017
10170,,"POLYGON ((60.0590496 55.0614465, 60.0589294 55.0614484, 60.0589243 55.0613463, 60.0590445 55.0613444, 60.0590496 55.0614465))",,,POINT (60.05898694999998 55.06139639999999),55.06139639999999,60.05898694999998
10171,,"POLYGON ((60.058411 55.0614515, 60.0581374 55.0614555, 60.0581338 55.0613742, 60.0584073 55.0613702, 60.058411 55.0614515))",,,POINT (60.05827237552084 55.06141285246908),55.06141285246908,60.05827237552084
10172,,"POLYGON ((60.0618884 55.0589063, 60.0617377 55.0589331, 60.0616976 55.0588592, 60.0618483 55.0588324, 60.0618884 55.0589063))",,,POINT (60.061792999999994 55.05888275),55.05888275,60.061793
10173,,"POLYGON ((60.0586211 55.0590123, 60.0585435 55.0590921, 60.0584218 55.0590533, 60.0584994 55.0589735, 60.0586211 55.0590123))",,,POINT (60.05852145 55.059032800000004),55.0590328,60.05852145
10174,,"POLYGON ((60.0751196 55.0635466, 60.0750882 55.0634243, 60.0753022 55.0634063, 60.0753336 55.0635285, 60.0751196 55.0635466))",,,POINT (60.07521088602915 55.06347642740112),55.06347642740112,60.07521088602915
10175,,"POLYGON ((60.0747705 55.0637508, 60.074739 55.0636286, 60.0749531 55.0636105, 60.0749845 55.0637328, 60.0747705 55.0637508))",,,POINT (60.074861786570196 55.06368066804052),55.06368066804052,60.0748617865702
10176,,"POLYGON ((60.1095432 55.0488336, 60.109399 55.0488336, 60.109399 55.0487832, 60.1095432 55.0487832, 60.1095432 55.0488336))",,,POINT (60.1094711 55.04880839999999),55.04880839999999,60.1094711
10177,Бюрократ,"POLYGON ((60.1097533 55.0485291, 60.1098678 55.0485291, 60.1098678 55.0484658, 60.1097533 55.0484658, 60.1097533 55.0485291))",,,POINT (60.109810550000006 55.04849745),55.04849745,60.109810550000006
10178,,"POLYGON ((60.1105906 55.0477244, 60.1105906 55.0478008, 60.1104404 55.0478008, 60.1104404 55.0477244, 60.1105906 55.0477244))",,,POINT (60.1105155 55.0477626),55.0477626,60.1105155
10179,,"POLYGON ((60.0721803 55.0566584, 60.0733337 55.0569384, 60.0733018 55.0569815, 60.0721484 55.0567014, 60.0721803 55.0566584))",,,POINT (60.07274123907826 55.056819971139426),55.05681997113943,60.07274123907826
10193,,"POLYGON ((60.110564 55.0459582, 60.110566 55.0458556, 60.1106826 55.0458564, 60.1106806 55.045959, 60.110564 55.0459582))",,,POINT (60.1106233 55.0459073),55.0459073,60.1106233
10195,,"POLYGON ((60.1491731 55.1189643, 60.1493502 55.119026, 60.1494455 55.1189365, 60.1492683 55.1188748, 60.1491731 55.1189643))",,,POINT (60.14930928246025 55.118950398388165),55.118950398388165,60.14930928246025
10196,,"POLYGON ((60.1499395 55.1192004, 60.1502596 55.1192716, 60.1503034 55.1192201, 60.150376 55.1192342, 60.1504481 55.119113, 60.150064 55.1190336, 60.1499395 55.1192004))",,,POINT (60.150191041575084 55.11915406940084),55.11915406940084,60.15019104157509
10197,,"POLYGON ((60.1503222 55.1193018, 60.1504431 55.1193384, 60.1505072 55.1192733, 60.150376 55.1192342, 60.1503222 55.1193018))",,,POINT (60.15041258430461 55.1192865136792),55.1192865136792,60.15041258430461
10198,,"POLYGON ((60.1507565 55.1192517, 60.1508926 55.1192742, 60.1509243 55.1192117, 60.1507882 55.1191892, 60.1507565 55.1192517))",,,POINT (60.15084039999999 55.11923169999999),55.11923169999999,60.15084039999999
10199,,"POLYGON ((60.1492599 55.1177806, 60.1492937 55.1176645, 60.1502878 55.1177951, 60.1502413 55.1179088, 60.1492599 55.1177806))",,,POINT (60.14977021451027 55.11778705843344),55.11778705843344,60.14977021451027
10200,,"POLYGON ((60.1500797 55.1166083, 60.1500709 55.1163988, 60.150754 55.1163894, 60.1507627 55.116599, 60.1500797 55.1166083))",,,POINT (60.15041685166508 55.1164988719717),55.1164988719717,60.15041685166508
10202,,"POLYGON ((60.133555 55.1099692, 60.1335522 55.1099373, 60.13362 55.1099353, 60.1336227 55.1099673, 60.133555 55.1099692))",,,POINT (60.13358749175336 55.10995227024966),55.10995227024966,60.13358749175336
10203,,"POLYGON ((60.1334086 55.112679, 60.1333523 55.1126793, 60.1333515 55.1126348, 60.1334078 55.1126345, 60.1334086 55.112679))",,,POINT (60.13338005000001 55.112656900000005),55.112656900000005,60.13338005000001
